id,username,name,description,following_count,followers_count,user_char,activity_level_frequency,following_agentid_list,mbti,previous_tweets,tweets_id,activity_level,created_at
0,user0,user_0,"With over 40 years of experience in architecture and construction, I'm Elizabeth, or Elsie as many call me. I'm passionate about creating spaces that tell stories and inspire communities. My interests in politics and urban legends keep me grounded in the real world while fueling my imagination.",1,822,,"[9, 1, 1, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 3, 3, 0, 2]",[106],ESFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
1,user1,user_1,"Dr. Emily Carter is a dedicated health scientist with a passion for both health and politics. With over two decades of experience in the field, she combines her professional insights with a deep interest in public health policies. Outside of work, Emily is an avid reader, a keen gardener, and a frequent participant in community health initiatives. She believes in the power of education and advocacy to create a healthier world.",1,585,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[127],ENFP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
2,user2,user_2,"32-year-old ISTP, specializing in visual effects. Captivated by the power of storytelling and the raw force of natural phenomena. Passionate about understanding how education can inspire change. Always eager to capture the world through my lens and share my insights with the world.",0,708,,"[0, 1, 0, 0, 0, 0, 0, 3, 2, 0, 1, 3, 3, 3, 5, 6, 3, 3, 6, 5, 3, 2, 2, 0]",[],ISTP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
3,user3,user_3,30-year-old logistics enthusiast and ESFJ at heart. Passionate about optimizing supply chains and staying updated with the latest in business and technology. Always looking to connect with like-minded individuals.,1,4371,,"[7, 3, 12, 6, 5, 1, 5, 0, 0, 3, 0, 0, 3, 2, 0, 2, 1, 2, 7, 11, 2, 8, 4, 2]",[116],ESFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
4,user4,user_4,"Enthusiastic 25-year-old ENTJ with a sharp mind for law and a passion for unraveling urban legends. By day, I protect society's safety; by night, I seek the truth behind the most chilling stories. Business and law, a dangerous blend of interests that never fails to keep me on my toes.",1,1449,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[104],ENTJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
5,user5,user_5,"Hi there! I'm Emily, a 30-year-old ISFJ in the hospitality and tourism industry. My passion for travel has led me to explore the wonders of science and technology in various destinations. I'm always on the lookout for the next big health trend and love sharing my findings with others. Let's embark on a journey together!",0,7545,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0]",[],ISFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
6,user6,user_6,"16-year-old finance enthusiast with a keen eye on politics and health trends. ISTP personality type, always looking for new challenges and adventures.",1,1447,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0]",[109],ISTP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
7,user7,user_7,36-year-old IT professional with a knack for uncovering the truth behind urban legends. Always on the pulse of the latest in science and technology.,2,5909,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 0, 0]","[25, 129]",ISTJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
8,user8,user_8,58-year-old legal expert with a passion for business and education. Always seeking new insights and opportunities to bridge the gap between law and innovation.,1,3038,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[122],ENTP,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
9,user9,user_9,A creative soul with a passion for both the arts and technology. I'm a 40-year-old ESFJ who finds joy in the fusion of science and entertainment. My days are filled with crafting digital masterpieces and exploring the latest tech trends. Let's share the wonders of the world together!,0,15,,"[3, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 10, 0, 0, 1, 13, 1, 0, 1]",[],ESFJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
10,user10,user_10,"Architecture and construction have been my passion since I was young. My work often takes me through various landscapes, and I've always been fascinated by how our built environment interacts with nature. I'm also deeply interested in natural disasters and their impact on both the environment and human health. Let's explore these topics together!",1,4371,,"[0, 1, 0, 1, 2, 0, 0, 1, 1, 0, 0, 0, 1, 0, 4, 0, 1, 1, 6, 2, 2, 2, 3, 0]",[57],ESTJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
11,user11,user_11,"Exploring the world, one urban legend and natural disaster at a time. Hospitality and tourism have given me a unique perspective on the stories behind the scenes. Let's uncover the mysteries together!",0,575,,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]",[],ESTJ,[],[],"[""off_line""] * 24",2021-01-01 00:00:00
